lat_departure,lon_departure,lat_arrival,lon_arrival
-12.1561,-39.7359,-12.1561,-39.7359
-11.8219,-42.6179,-11.8219,-42.6179
-13.2563,-40.0848,-13.2563,-40.0848
-13.2902,-40.9595,-13.2902,-40.9595
-12.7666,-40.2056,-12.5242,-40.3059
-12.5242,-40.3059,-12.5242,-40.3059
-14.9595,-39.3028,-14.7876,-39.2781
-14.7876,-39.2781,-14.7876,-39.2781
-14.6788,-39.3698,-14.7876,-39.2781
-14.8876,-39.4239,-14.7876,-39.2781
-14.5963,-39.2851,-14.7876,-39.2781
-14.2784,-38.9959,-14.2784,-38.9959
-12.9831,-40.9677,-12.9831,-40.9677
-16.3715,-39.5821,-16.0819,-39.6133
-16.0819,-39.6133,-16.0819,-39.6133
-11.0147,-42.3997,-11.0147,-42.3997
-17.0378,-39.5386,-17.0378,-39.5386
-13.8542,-39.7501,-13.7782,-39.683
-13.7782,-39.683,-13.7782,-39.683
-13.812,-39.6182,-13.7782,-39.683
-15.2429,-40.63,-15.2429,-40.63
-12.22,-38.2027,-12.2614,-38.0436
-12.2614,-38.0436,-12.2614,-38.0436
-17.1642,-40.3321,-17.1642,-40.3321
-12.8932,-38.68,-12.8932,-38.68
-12.9568,-38.6153,-12.8932,-38.68
-15.9551,-39.5329,-15.9551,-39.5329
-15.2475,-40.2482,-15.2475,-40.2482
-14.4139,-39.5657,-14.4139,-39.5657
-13.4459,-39.9378,-13.4459,-39.9378
-13.5248,-39.964,-13.4459,-39.9378
-10.6948,-39.8446,-10.6948,-39.8446
-13.6237,-41.3347,-13.8107,-41.3003
-13.8107,-41.3003,-13.8107,-41.3003
-14.4054,-43.5595,-14.4054,-43.5595
-13.8232,-44.4586,-13.6071,-44.4255
-13.6071,-44.4255,-13.6071,-44.4255
-14.8541,-42.4329,-14.8541,-42.4329
-14.6842,-42.5095,-14.8541,-42.4329
-15.0225,-42.3727,-14.8541,-42.4329
-10.2569,-40.1999,-10.2569,-40.1999
-10.4594,-40.1865,-10.2569,-40.1999
-11.5616,-37.7853,-11.5616,-37.7853
-11.4814,-37.9332,-11.5616,-37.7853
-10.0685,-38.3471,-10.0685,-38.3471
-11.3033,-41.8535,-11.3486,-41.6548
-11.3486,-41.6548,-11.3486,-41.6548
-11.3851,-41.8286,-11.3486,-41.6548
-9.41622,-40.5033,-9.41622,-40.5033
-16.8488,-40.1641,-16.8488,-40.1641
-11.0431,-41.9702,-11.0431,-41.9702
-11.2175,-41.8843,-11.0431,-41.9702
-15.2651,-39.419,-15.192,-39.491
-15.192,-39.491,-15.192,-39.491
-15.0787,-39.3437,-15.192,-39.491
-13.5155,-41.5882,-13.5155,-41.5882
-13.8509,-40.0877,-13.6541,-40.2119
-13.6541,-40.2119,-13.6541,-40.2119
-14.0334,-42.1328,-14.0334,-42.1328
-17.611838,-40.345581,-17.611838,-40.345581
-12.3529,-40.9048,-12.3529,-40.9048
-13.529,-40.1472,-13.4663,-40.2204
-13.4663,-40.2204,-13.4663,-40.2204
-13.4355,-40.4323,-13.4663,-40.2204
-11.773,-38.887,-11.773,-38.887
-12.5616,-41.3928,-12.5616,-41.3928
-12.0956,-45.7866,-12.0956,-45.7866
-12.1326,-40.3571,-12.1326,-40.3571
-15.5646,-40.4209,-15.5646,-40.4209
-13.0186,-42.6945,-13.0186,-42.6945
-9.16226,-39.0518,-9.16226,-39.0518
-12.6716,-38.5472,-12.7446,-38.6153
-12.7446,-38.6153,-12.7446,-38.6153
-12.6183,-38.6786,-12.7446,-38.6153
-14.6623,-41.4915,-14.6623,-41.4915
-14.6885,-41.6798,-14.6623,-41.4915
-15.6528,-40.065,-15.624,-40.2587
-15.624,-40.2587,-15.624,-40.2587
-14.2985,-43.7724,-14.3371,-43.7686
-14.3371,-43.7686,-14.3371,-43.7686
-14.5467,-41.9381,-14.3847,-41.8842
-14.3847,-41.8842,-14.3847,-41.8842
-14.4071,-42.0721,-14.3847,-41.8842
-14.1476,-40.2399,-14.1476,-40.2399
-10.7227,-44.0428,-10.7227,-44.0428
-14.1035,-39.0137,-14.1035,-39.0137
-13.0064,-40.5295,-13.0064,-40.5295
-15.5542,-39.3016,-15.5542,-39.3016
-12.6996,-38.3263,-12.5307,-38.3009
-12.3513,-38.3791,-12.5307,-38.3009
-12.6187,-38.2926,-12.5307,-38.3009
-12.5307,-38.3009,-12.5307,-38.3009
-12.4303,-38.3374,-12.5307,-38.3009
-11.4299,-40.6031,-11.4299,-40.6031
-12.7099,-39.6952,-12.8646,-39.8611
-12.8646,-39.8611,-12.8646,-39.8611
-13.0241,-40.0653,-12.8646,-39.8611
-11.1812,-40.5117,-10.961,-40.574
-10.961,-40.574,-10.961,-40.574
-14.2385,-40.7718,-14.2385,-40.7718
-10.4374,-39.3321,-10.4374,-39.3321
-11.5569,-43.2766,-11.5569,-43.2766
-11.5488,-41.1565,-11.5488,-41.1565
-13.0053,-41.3703,-13.0053,-41.3703
-18.0754,-39.5565,-18.0754,-39.5565
-17.8926,-39.3743,-18.0754,-39.5565
-12.065,-43.5497,-12.065,-43.5497
-13.2621,-39.5737,-13.2284,-39.5044
-13.1673,-39.4213,-13.2284,-39.5044
-13.2284,-39.5044,-13.2284,-39.5044
-13.2714,-39.666,-13.2284,-39.5044
-10.8192,-39.4297,-10.8192,-39.4297
-11.6658,-39.8349,-11.6031,-39.6302
-11.4688,-39.7757,-11.6031,-39.6302
-11.6031,-39.6302,-11.6031,-39.6302
-11.4649,-39.5268,-11.6031,-39.6302
-12.815,-41.0748,-12.815,-41.0748
-12.6502,-42.2179,-12.8083,-42.1682
-12.8083,-42.1682,-12.8083,-42.1682
-11.5059,-38.1515,-11.3497,-38.3379
-11.3088,-38.2262,-11.3497,-38.3379
-11.3497,-38.3379,-11.3497,-38.3379
-12.3132,-42.8969,-12.3132,-42.8969
-12.1335,-38.4208,-12.0175,-38.6166
-12.0884,-38.4969,-12.0175,-38.6166
-12.0175,-38.6166,-12.0175,-38.6166
-10.9578,-41.0756,-10.9578,-41.0756
-14.2676,-43.1609,-14.2676,-43.1609
-12.5059,-41.5809,-12.5059,-41.5809
-12.687,-43.1798,-12.687,-43.1798
-10.6859,-37.8626,-10.6859,-37.8626
-15.4142,-39.4919,-15.4572,-39.6458
-15.4572,-39.6458,-15.4572,-39.6458
-11.8313,-39.611,-11.8313,-39.611
-11.8067,-39.3818,-11.8313,-39.611
-12.1491,-38.6487,-12.1491,-38.6487
-10.012,-37.8932,-10.012,-37.8932
