unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 
HAB_P,HBEDI_PSY,DE9	: 	: 	: 	: 	: 	: 	794.82 	786.61 	801.81 	805.20 	821.61 	879.19 	951.92 	975.90 	996.15 	982.57 	993.10 	973.13 	977.71 	989.38 	934.60 	941.29 	926.89 	924.73 	936.19 	890.56 	888.21 	941.50 	956.26 
HAB_P,HBEDI_PSY,DEA	: 	: 	: 	: 	: 	: 	860.44 	856.90 	855.19 	851.35 	861.45 	889.67 	914.53 	922.55 	922.78 	924.55 	922.57 	927.34 	907.08 	911.97 	893.33 	893.45 	890.30 	874.02 	842.26 	801.27 	705.13 	680.56 	677.50 
HAB_P,HBEDI_PSY,DEB	: 	: 	: 	: 	: 	: 	726.39 	715.97 	693.47 	702.74 	716.84 	729.09 	742.75 	758.12 	762.43 	762.38 	769.66 	832.97 	836.23 	830.78 	834.40 	836.31 	812.40 	788.35 	790.92 	774.01 	800.80 	796.02 	800.70 
HAB_P,HBEDI_PSY,DEC	: 	: 	: 	: 	: 	: 	687.20 	754.48 	779.66 	801.99 	820.24 	882.50 	926.40 	936.11 	943.63 	1050.93 	1059.71 	1065.29 	950.12 	930.77 	749.71 	726.48 	744.53 	754.56 	734.39 	718.54 	709.61 	741.19 	693.71 
HAB_P,HBEDI_PSY,DED	: 	: 	: 	: 	: 	: 	788.31 	770.27 	780.17 	798.46 	827.94 	841.16 	872.27 	966.79 	956.41 	966.39 	981.45 	985.33 	988.20 	995.81 	1013.32 	1037.27 	1059.07 	1101.15 	1174.02 	1322.54 	1353.69 	1281.29 	1374.65 
HAB_P,HBEDI_PSY,DEE	: 	: 	: 	: 	: 	: 	914.49 	921.84 	942.65 	979.73 	969.09 	988.87 	1046.40 	1071.12 	1087.91 	1106.69 	1134.92 	1105.64 	1097.80 	1113.66 	1251.45 	1246.83 	1283.32 	1333.38 	1486.39 	1496.59 	1641.24 	1727.12 	1289.89 
HAB_P,HBEDI_PSY,DEF	: 	: 	: 	: 	: 	: 	694.70 	682.64 	725.48 	717.42 	705.95 	737.39 	750.30 	637.69 	765.40 	794.84 	791.18 	829.22 	858.14 	845.74 	838.68 	825.48 	837.87 	867.50 	823.66 	864.60 	902.63 	897.26 	824.30 
HAB_P,HBEDI_PSY,DEG	: 	: 	: 	: 	: 	: 	619.80 	623.75 	623.21 	638.69 	653.08 	693.70 	760.29 	824.05 	848.77 	876.55 	874.97 	887.80 	920.28 	1010.82 	955.16 	974.51 	1016.12 	1071.80 	1117.19 	1151.96 	1242.35 	1300.34 	1206.88 
HAB_P,HBEDI_PSY,DK	: 	: 	: 	: 	: 	2517.81 e	: e	: be	1859.25 	: 	1877.51 b	1753.38 	1730.84 	1710.34 	1629.79 	1588.92 	1530.48 	1481.91 	1402.70 	1355.85 	1329.39 	1320.38 	1267.70 	1269.86 	1254.15 	1250.43 	1244.86 	1222.39 	1220.28 
HAB_P,HBEDI_PSY,DK01	: 	: 	: 	: 	: 	1569.19 e	: e	: be	1456.68 	: 	1421.31 b	1213.96 	1200.63 	1142.30 	1089.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DK02	: 	: 	: 	: 	: 	2325.00 e	2197.31 e	2142.94 be	2088.34 	: 	2126.84 b	2076.36 	1918.01 	2211.16 	2044.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DK03	: 	: 	: 	: 	: 	: e	: e	2519.08 be	2054.64 	: 	2049.49 b	1994.13 	2061.81 	2056.98 	1898.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DK04	: 	: 	: 	: 	: 	2483.33 e	2425.67 e	2510.09 be	2240.82 	: 	2407.31 b	2490.09 	2396.29 	2326.57 	2286.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DK05	: 	: 	: 	: 	: 	2355.09 e	2085.95 e	2078.02 be	2073.80 	: 	2147.82 b	2147.14 	2172.55 	2092.70 	2086.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,EE	: 	: 	: 	: 	: 	: 	1801.93 	1801.84 	1798.09 	1857.72 	1851.38 	1870.05 	1850.92 	1797.16 	1806.85 	1812.66 	1873.82 	2000.81 	1791.79 	1563.89 	1487.80 	1289.92 	1232.49 	1122.39 	1028.31 	1001.84 	940.82 	922.72 	: 
HAB_P,HBEDI_PSY,EE00	: 	: 	: 	: 	: 	: 	1801.93 	1801.84 	1798.09 	1857.72 	1851.38 	1870.05 	1850.92 	1797.16 	1806.85 	1812.66 	1873.82 	2000.81 	1791.79 	1563.89 	1487.80 	1289.92 	1232.49 	1122.39 	1028.31 	1001.84 	940.82 	922.72 	: 
HAB_P,HBEDI_PSY,EL	: 	: 	: 	: 	: 	: 	1367.83 	1389.69 	1433.17 	1306.95 	1363.40 	1328.40 	1237.55 	1199.55 	1145.63 	1131.92 	1141.30 	1106.36 	1127.42 	1073.24 	1063.04 	1016.92 	1019.87 	946.79 	948.85 	946.79 	916.06 	986.76 	910.47 
HAB_P,HBEDI_PSY,EL11	: 	: 	: 	: 	: 	: 	: 	: 	938.61 	1235.01 	1210.97 	1871.49 	2263.70 	1969.65 	1970.60 	2108.79 	2267.36 	3611.35 	3606.80 	4331.97 	4334.53 	2970.86 	2960.35 	3233.25 	2905.34 	3037.14 	3019.49 	2940.69 	2919.97 
HAB_P,HBEDI_PSY,EL12	: 	: 	: 	: 	: 	: 	: 	: 	1219.16 	1127.55 	1098.94 	1245.48 	870.01 	870.45 	909.48 	990.53 	1004.96 	1116.54 	1067.57 	990.74 	916.68 	802.91 	828.59 	802.85 	809.63 	875.99 	826.47 	994.67 	843.51 
HAB_P,HBEDI_PSY,EL13	: 	: 	: 	: 	: 	: 	: 	: 	762.98 	817.06 	834.67 	836.57 	798.68 	799.31 	889.97 	801.12 	801.99 	802.42 	802.86 	803.01 	903.24 	836.09 	835.53 	834.74 	833.72 	1000.09 	1011.86 	972.21 	969.56 
HAB_P,HBEDI_PSY,EL14	: 	: 	: 	: 	: 	: 	: 	: 	593.61 	520.31 	661.96 	661.64 	597.39 	572.30 	563.55 	458.67 	645.68 	581.14 	671.34 	697.52 	651.78 	689.41 	797.95 	789.94 	846.64 	921.62 	900.14 	1055.99 	1052.76 
HAB_P,HBEDI_PSY,EL21	: 	: 	: 	: 	: 	: 	: 	: 	8343.59 	3904.85 	7888.79 	7958.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5022.04 	5019.94 	5013.19 	5002.49 	4989.61 	3299.75 	: 	3307.76 
HAB_P,HBEDI_PSY,EL22	: 	: 	: 	: 	: 	: 	: 	: 	7998.19 	8127.65 	11708.35 	1845.56 	1338.95 	11502.15 	631.18 	623.65 	616.04 	609.71 	603.96 	596.29 	586.98 	562.14 	561.00 	549.18 	540.14 	550.79 	540.19 	500.96 	494.43 
HAB_P,HBEDI_PSY,EL23	: 	: 	: 	: 	: 	: 	: 	: 	12145.63 	7404.72 	28611.38 	20710.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13368.07 	9374.18 	9744.69 	14995.68 	14956.30 	14902.39 	: 	: 
HAB_P,HBEDI_PSY,EL24	: 	: 	: 	: 	: 	: 	: 	: 	: 	113338.40 	554169.50 	554484.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111944.50 	112214.00 	112271.20 	37390.63 	37308.00 	37190.60 	: 	: 
HAB_P,HBEDI_PSY,EL25	: 	: 	: 	: 	: 	: 	: 	: 	3855.32 	3908.94 	3873.03 	1336.00 	1408.63 	1411.18 	1414.85 	1418.71 	1422.35 	1425.42 	1429.17 	1429.70 	1425.67 	1391.16 	1390.94 	1388.26 	1349.28 	1343.20 	1336.22 	1464.94 	1456.08 
HAB_P,HBEDI_PSY,EL30	: 	: 	: 	: 	: 	: 	1322.92 	1300.17 	1239.10 	1070.21 	1112.84 	1139.97 	981.40 	906.12 	866.85 	875.61 	938.45 	873.15 	892.69 	840.45 	877.27 	876.68 	823.27 	710.08 	706.08 	672.32 	660.77 	699.13 	641.83 
HAB_P,HBEDI_PSY,EL41	: 	: 	: 	: 	: 	: 	16431.21 	16511.50 	9046.80 	9092.48 	14336.50 	14321.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12302.44 	10953.31 	12361.16 	12403.88 	12433.38 	11054.56 	: 	: 
