unit,age,sex,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
NR,Y55-64,F,FI	: 	: 	: 	2452 	2441 	2356 	2281 	2160 	2020 	1870 	1704 	1550 	1415 	1302 	1157 	1052 	950 	884 b	878 	794 	736 	666 	584 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,FR	: 	23649 	24150 	24068 	24304 	24453 	24340 	23850 	23010 	21969 	20699 b	24447 	22430 b	20542 	18524 	16555 	14492 	12413 	10414 	8858 	7483 	6462 	5928 	5402 	4594 	4332 	4319 	4128 	4154 	3927 	3802 	3616 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,HR	: 	2152 	2176 	2131 	2103 	2102 	2006 	2048 	1806 	1747 	1653 	1590 	1450 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,HU	: 	3757 b	4389 	4459 	4554 	4441 	4292 b	4649 	4375 	4381 	4175 	3900 b	3877 	3921 b	3057 b	3680 	3260 b	3537 b	4199 	3919 b	3162 e	2516 be	2770 	2492 	2167 	1868 	1745 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,IE	1005 b	924 	873 	901 	793 	754 	693 	649 b	730 	588 	550 	: 	: 	487 	489 	373 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,IS	: 	: 	109 	99 	104 	96 b	82 	74 	64 	58 	49 	46 	45 	46 	31 	26 	25 b	23 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,IT	30227 p	31541 	32778 	33372 	33889 	33542 	32229 	30975 	28515 	25831 b	33015 	28370 	23816 	19304 	15050 	11652 	9088 	6967 e	5744 e	4802 e	4072 e	3424 be	3363 	3148 	2972 	2821 	2836 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,LI	10 	10 	12 	7 	7 	5 	7 	5 	5 	6 	6 	7 b	7 d	6 d	6 d	5 d	4 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,LT	: 	2218 e	2341 e	2392 be	2387 e	2384 e	2401 e	2411 e	2336 e	2231 e	2238 e	2232 e	2172 e	2217 e	2245 be	2132 	2096 	2100 	2097 	1984 	1971 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,LU	: 	: 	: 	: 	153 	134 	127 	112 	99 	91 	82 	68 	52 	50 	41 	35 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,LV	: 	1378 	1372 	1409 	1402 	1376 	1376 	1348 	1274 	1275 	1215 	1109 	1085 	1064 	1010 	964 	924 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,ME	: 	277 d	276 d	276 d	249 d	225 d	190 d	156 d	136 d	124 d	124 d	116 d	96 d	91 d	76 d	68 d	62 d	58 d	49 d	50 d	52 d	43 d	47 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,MK	: 	1175 	1303 	1279 	1224 	1135 	1062 	1096 	983 	923 	879 	824 	695 	670 	572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,MT	: 	86 	82 	68 	60 	43 	32 	28 	21 	19 	17 	15 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,NL	: 	4776 	4542 	4264 b	4137 	3941 	3716 	3575 b	3306 	3092 	2808 	2505 	2314 	2051 	1800 	1654 	1460 	1298 	1191 	1046 	907 	729 	693 b	949 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	883 	: 	: 	: 	: 	: 
NR,Y55-64,F,NO	1776 	1713 	1625 	1570 	1494 	1376 	1275 b	1196 	1129 	1029 	975 	886 	846 b	754 	674 	625 	592 	538 	490 	465 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,RO	: 	6862 	7245 	7443 	7442 	7534 	7398 	7342 	7107 	6689 	6170 	5897 b	5389 	4630 	4041 	3380 	3070 	2993 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,RS	3663 	3807 b	: 	3858 	3706 	3522 b	3397 	3172 	3147 	3135 	2993 	2712 	2478 	2239 	1940 	1638 	1508 	1590 	1164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,SE	: 	: 	3535 	3635 	3669 	3708 	3647 	3624 	3672 	3689 	3658 	3536 	3380 	3281 	3140 	3007 	2869 	2660 	2402 	2085 	1874 	1628 	1397 	1199 	1054 	945 	854 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,SI	: 	854 	865 	877 	858 	792 	748 	696 	633 	578 	579 	560 	526 	480 	427 	389 	375 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,SK	: 	1998 	2076 	2232 	2401 	2564 	2654 	2664 	2629 	2676 	2569 	2499 	2381 	2253 	2079 	1841 	1730 	1848 	1722 	1636 	1512 	1572 	1256 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,TR	: 	4899 	4430 	3923 b	3842 e	3710 e	3619 e	3474 e	3427 e	3324 e	3228 e	3162 e	3039 e	2899 e	2777 e	2676 e	2583 e	2488 e	2420 e	2355 e	2300 e	2184 e	2041 e	1923 e	1833 e	1771 e	1738 e	1686 e	1564 e	1460 e	1396 e	1297 e	1196 e	1089 e	995 e	959 e	933 e	876 e	826 e	793 e	728 e	698 e
NR,Y55-64,F,UK	: 	: 	8089 	7868 e	7014 	6256 	5986 b	5862 	5670 	5545 	5396 	5142 	4860 b	4794 	4110 	3956 	3728 	3503 	3108 	2831 	2667 	2555 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,AT	7404 	7500 	7493 	7357 	7085 	6743 	6922 	6800 	6136 	5810 	5411 	5289 	4814 	4577 	4441 	4202 	4007 	3795 	3704 	3447 	3247 	2935 	2792 	2534 	2238 	1991 	1785 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,BE	: 	5622 	5942 	6191 	6401 	6657 	6818 	6923 	6979 	6960 	6871 	6743 	6525 	6250 	5947 	5628 	5296 	4934 	4595 	4252 	4009 	3765 	3620 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,BG	: 	4624 	4530 	4418 	4280 	4113 	3763 	3528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,CH	6310 	6366 	6376 	6365 	6314 	6234 	6147 	6037 	5986 	5912 	5717 	5617 	5505 	5361 b	5298 	5113 	4819 	4485 	4151 	3757 	3492 	3202 	: 	: 	: 	2273 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,CY	: 	: 	537 	541 	541 	563 	563 	547 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	152 	: 	: 	: 	: 	102 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,CZ	: 	3712 e	3918 be	: 	: 	: 	: 	: 	4841 	4720 	4609 	4391 	4078 	3785 	3459 	3085 	2844 	2620 	2485 	2382 	2185 	2091 b	1743 	1695 	1856 	1783 	1961 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,DE	: 	78972 	79654 	79718 	79669 	79578 	79166 	79050 	77751 	76543 	73953 	71454 	69973 	68554 	67548 	66743 	67154 	65627 	65059 	63579 	61710 	59345 	56446 	53325 	50907 	48132 	46890 	44537 	41724 	38255 	35265 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,DK	: 	: 	2579 	2720 	2861 	3051 	3201 	3261 	3351 	3465 	3550 	3625 	3651 	3643 	3538 	3542 	3392 	3245 	3039 	2887 	2639 	2344 	2062 	1915 	1665 	1515 	1444 	1358 	1291 	1253 b	1108 	1136 	1131 	1108 	1072 	1064 	1043 	1041 	1004 	981 	974 	965 
NR,Y55-64,M,EE	: 	274 	280 	296 	295 	313 	301 	291 	285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,EL	: 	8599 	8876 	8802 	8562 	8872 	8788 	8707 	8642 	8552 	8780 	8470 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4490 	4367 	4296 	4255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,ES	: 	29067 	30733 	31200 	31467 	30433 	29433 	26900 	25200 	24500 	24033 	23200 	20833 	19100 	17933 	16133 	14867 	13699 	13900 	13567 	11300 	9833 	8967 	9033 	8467 	7900 	: 	: 	: 	: 	: 	8000 	: 	: 	: 	: 	10500 	: 	: 	: 	: 	8800 
NR,Y55-64,M,FI	: 	: 	: 	1776 	1812 	1890 	1974 	2031 	1983 	1968 	1928 	1915 	1885 	1833 	1712 	1629 	1585 	1483 b	1755 	1678 	1555 	1477 	1354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,FR	: 	37052 	39339 	41155 	43042 	44837 	46234 	47348 	48302 	48958 	48965 b	51391 	49499 b	47582 	45255 	42415 	38692 	34530 	30133 	26082 	22096 	18990 	17871 	16757 	14673 	14087 	14889 	15048 	16039 	15948 	16013 	16010 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,HR	: 	1514 	1510 	1502 	1491 	1436 	1378 	1405 	1262 	1216 	1194 	1246 	1197 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,HU	: 	2786 b	3360 	3386 	3407 	3380 	3232 b	3583 	3429 	3454 	3366 	3147 b	3325 	3353 b	2930 b	3444 	3192 b	3568 b	4285 	4244 b	3842 e	3500 be	4021 	3797 	3515 	3301 	3101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,IE	1769 b	1711 	1678 	1694 	1655 	1642 	1617 	1589 b	1931 	1635 	1678 	: 	: 	1608 	1602 	1392 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,IS	: 	: 	239 	248 	260 	274 b	269 	271 	270 	273 	279 	284 	291 	283 	269 	256 	232 b	201 	196 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,IT	43801 p	47283 	52541 	57264 	61530 	65427 	66959 	68571 	68067 	65706 b	90800 	84699 	77107 	68860 	60106 	51901 	44504 	37236 e	32123 e	27941 e	24474 e	21660 be	22279 	21699 	21248 	21164 	21747 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,LI	25 	28 	28 	33 	33 	32 	30 	29 	28 	33 	31 	24 b	19 d	19 d	18 d	16 d	14 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,LT	: 	864 e	903 e	938 be	1012 e	1013 e	1067 e	1053 e	1085 e	1064 e	1047 e	987 e	982 e	945 e	981 be	936 	918 	903 	901 	768 	757 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,LU	: 	: 	: 	: 	406 	393 	390 	379 	358 	320 	303 	288 	270 	248 	232 	206 	184 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,LV	: 	492 	491 	492 	468 	478 	466 	449 	431 	389 	371 	364 	362 	362 	353 	340 	345 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,ME	: 	186 d	175 d	176 d	157 d	148 d	143 d	131 d	115 d	109 d	105 d	111 d	104 d	90 d	94 d	101 d	91 d	92 d	92 d	100 d	109 d	112 d	123 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,MK	: 	866 	902 	945 	906 	847 	829 	816 	758 	753 	753 	692 	608 	586 	529 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,MT	: 	282 	264 	257 	232 	201 	173 	147 	122 	117 	107 b	99 	107 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,NL	: 	7410 	7693 	7883 b	8264 	8473 	8608 	8699 b	8457 	8451 	8309 	8044 	7866 	7513 	7167 	7070 	6463 	5997 	5670 	5119 	4558 	3908 	3555 b	4079 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4099 	: 	: 	: 	: 	: 
NR,Y55-64,M,NO	2306 	2386 	2501 	2542 	2656 	2688 	2741 b	2899 	2941 	3027 	3035 	3050 	3035 b	3007 	2940 	2787 	2757 	2557 	2379 	2286 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,RO	: 	2949 	3148 	3275 	3424 	3566 	3717 	3791 	3847 	3772 	3609 	3497 b	3358 	3143 	2955 	2712 	2467 	2477 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,RS	1866 	1891 b	: 	2339 	2286 	2234 b	2247 	2138 	2069 	2071 	2045 	1970 	1839 	1766 	1685 	1588 	1527 	1578 	1451 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,SE	: 	: 	4424 	4616 	4790 	4941 	5031 	5153 	5405 	5631 	5790 	5840 	5863 	5893 	5828 	5620 	5406 	5217 	4854 	4463 	4049 	3631 	3328 	2987 	2694 	2515 	2376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,SI	: 	541 	546 	564 	592 	562 	532 	520 	530 	522 	527 	529 	523 	496 	511 	516 	522 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,SK	: 	1606 	1686 	1796 	1938 	2039 	2131 	2219 	2303 	2358 	2309 	2299 	2156 	2050 	1945 	1717 	1532 	1509 	1336 	1228 	1149 	1198 	1088 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,M,TR	: 	13951 	12757 	11824 b	11582 e	11183 e	10907 e	10471 e	10329 e	10020 e	9731 e	9532 e	9161 e	8737 e	8370 e	8067 e	7787 e	7498 e	7294 e	7100 e	6934 e	6582 e	6151 e	5798 e	5524 e	5337 e	5237 e	5083 e	4714 e	4400 e	4207 e	3910 e	3606 e	3282 e	2998 e	2891 e	2813 e	2640 e	2491 e	2390 e	2194 e	2103 e
NR,Y55-64,M,UK	: 	: 	15646 	15875 e	14947 	14074 	13792 b	13977 	14009 	13871 	13857 	13803 	13698 b	14044 	13039 	12951 	12830 	12297 	11154 	10272 	9740 	9225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,AT	12372 	12279 	12128 	11772 	11000 	10207 	10492 	10261 	8942 	8273 	7506 	7262 	6481 	6042 	5765 	5411 	5111 	4859 	4696 	4393 	4117 	3711 	3519 	3216 	2832 	2499 	2206 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,BE	: 	8696 	8942 	9109 	9250 	9457 	9502 	9487 	9446 	9240 	8974 	8691 	8309 	7831 	7322 	6853 	6327 	5828 	5331 	4923 	4593 	4285 	4082 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,BG	: 	10429 	10458 	10249 	10086 	9689 	9055 	8556 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,CH	9779 	9703 	9558 	9357 	9132 	8853 	8589 	8298 	8105 	7849 	7464 	7206 	7017 	6717 b	6588 	6319 	5907 	5508 	5081 	4607 	4262 	3922 	: 	: 	: 	2708 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,CY	: 	: 	909 	905 	892 	902 	879 	830 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	184 	: 	: 	: 	: 	110 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,CZ	: 	8020 e	8193 be	: 	: 	: 	: 	: 	10088 	9797 	9508 	9161 	8562 	7990 	7455 	6938 	6588 	6205 	5941 	5724 	5259 	4844 b	4010 	3732 	3731 	3446 	3519 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,DE	: 	138989 	138870 	137536 	135664 	133558 	130999 	128499 	124023 	120468 	114365 	108915 	104903 	101199 	98264 	95670 	95038 	91657 	90014 	87379 	84342 	80883 	76701 	72665 	69647 	66244 	64766 	61611 	57626 	52894 	48712 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,DK	: 	: 	4701 	4802 	4909 	5042 	5127 	5079 	5074 	5125 	5115 	5112 	5045 	4949 	4725 	4639 	4376 	4153 	3869 	3656 	3335 	2951 	2581 	2360 	2023 	1823 	1734 	1632 	1535 	1495 b	1326 	1356 	1356 	1327 	1279 	1268 	1245 	1251 	1186 	1170 	1159 	1130 
NR,Y55-64,T,EE	: 	1181 	1217 	1214 	1204 	1208 	1200 	1180 	1169 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,EL	: 	14090 	14272 	13912 	13423 	13675 	12991 	12902 	12599 	12262 	12269 	11752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5051 	4894 	4783 	4735 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,ES	: 	56700 	55333 	53100 	52400 	51133 	48800 	43200 	38700 	36267 	34933 	33233 	29766 	26167 	23233 	20033 	18867 	17600 	17266 	15900 	12800 	11200 	10100 	10132 	9433 	8800 	: 	: 	: 	: 	: 	9100 	: 	: 	: 	: 	11000 	: 	: 	: 	: 	9200 
NR,Y55-64,T,FI	: 	: 	: 	4228 	4253 	4246 	4255 	4191 	4003 	3838 	3632 	3465 	3300 	3135 	2869 	2681 	2535 	2367 b	2633 	2472 	2291 	2143 	1938 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,FR	: 	60701 	63489 	65223 	67346 	69290 	70574 	71198 	71312 	70927 	69664 b	75838 	71929 b	68123 	63779 	58970 	53183 	46943 	40547 	34939 	29579 	25453 	23799 	22159 	19268 	18418 	19208 	19175 	20192 	19875 	19814 	19627 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,HR	: 	3666 	3686 	3633 	3594 	3538 	3384 	3453 	3068 	2963 	2847 	2836 	2647 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,HU	: 	6543 b	7749 	7845 	7961 	7821 	7524 b	8232 	7804 	7835 	7541 	7047 b	7202 	7274 b	5987 b	7124 	6452 b	7105 b	8484 	8163 b	7004 e	6016 be	6791 	6289 	5682 	5169 	4846 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,IE	2774 b	2635 	2551 	2595 	2448 	2396 	2310 	2238 b	2661 	2223 	2228 	: 	: 	2095 	2091 	1765 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,IS	: 	: 	348 	347 	364 	370 b	351 	345 	334 	331 	328 	330 	336 	329 	300 	282 	257 b	224 	220 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,IT	74028 p	78824 	85319 	90636 	95419 	98969 	99188 	99546 	96582 	91537 b	123815 	113069 	100923 	88164 	75156 	63553 	53592 	44203 e	37867 e	32742 e	28546 e	25084 be	25642 	24847 	24220 	23985 	24583 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,LI	35 	38 	40 	40 	40 	37 	37 	34 	33 	39 	37 	31 b	26 d	25 d	24 d	21 d	18 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,LT	: 	3082 e	3244 e	3330 be	3399 e	3397 e	3468 e	3464 e	3421 e	3295 e	3285 e	3219 e	3154 e	3162 e	3226 be	3068 	3014 	3003 	2998 	2752 	2728 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,LU	: 	: 	: 	: 	559 	527 	517 	491 	457 	411 	385 	356 	322 	298 	273 	241 	211 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,LV	: 	1870 	1863 	1901 	1870 	1854 	1842 	1797 	1705 	1664 	1586 	1473 	1447 	1426 	1363 	1304 	1269 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,ME	: 	463 d	451 d	452 d	406 d	373 d	333 d	287 d	251 d	233 d	229 d	227 d	200 d	181 d	170 d	169 d	153 d	150 d	141 d	150 d	161 d	155 d	170 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,MK	: 	2041 	2205 	2224 	2130 	1982 	1891 	1912 	1741 	1676 	1632 	1516 	1303 	1256 	1101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,MT	: 	368 	346 	325 	292 	244 	205 	175 	143 	136 	124 b	114 	124 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,NL	: 	12186 	12235 	12147 b	12401 	12414 	12324 	12274 b	11763 	11543 	11117 	10549 	10180 	9564 	8967 	8724 	7923 	7295 	6861 	6165 	5465 	4637 	4248 b	5028 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4982 	: 	: 	: 	: 	: 
NR,Y55-64,T,NO	4082 	4099 	4126 	4112 	4150 	4064 	4016 b	4095 	4070 	4056 	4010 	3936 	3881 b	3761 	3614 	3412 	3349 	3095 	2869 	2751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,RO	: 	9811 	10393 	10718 	10866 	11100 	11115 	11133 	10954 	10461 	9779 	9394 b	8747 	7773 	6996 	6092 	5537 	5470 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,T,RS	5529 	5698 b	: 	6197 	5992 	5756 b	5644 	5310 	5216 	5206 	5038 	4682 	4317 	4005 	3625 	3226 	3035 	3168 	2615 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
