# Duracoes outliers (longas, porem reais)
# ORIGEM	DESTINO	DISTÂNCIA (km)	DURACAO (s)
param: K_out: dist_out dur_out :=
# 130380	355220	4692.22		402191
# 130380	355410	4827.04		413747
# 130380	410480	4372.88		374819
# 130380	410690	4761.23		408106
# 130380	411370	4336.56		371705
# 130380	411520	4286.34		367401
# 130380	411990	4644.30		398083
# 130380	412550	4780.83		409786
# 130380	420240	4965.37		425603
# 130380	420540	5091.24		436392
# 130380	420910	4904.89		420419
# 130380	430460	5200.59		445765
# 130380	430510	5099.60		437109
# 130380	431440	5374.02		460631
# 130380	431490	5212.10		446752
# 130380	500270	3688.61		316167
# 130380	510340	2938.35		251859
# 130380	520110	3753.55		321733
# 130380	520140	3772.16		323329
# 130380	520870	3754.43		321809
# 130380	530010	3824.79		327840
# 130406	110020	1181.12		101239
# 130406	120040	954.16		81786
# 130406	140010	1813.43		155438
# 130406	150080	3384.42		290094
# 130406	150140	3364.00		288343
# 130406	150680	2383.11		204267
# 130406	160030	3012.25		258194
# 130406	172100	3459.61		296539
# 130406	211130	3994.57		342393
# 130406	221100	4212.82		361099
# 130406	230370	4859.51		416530
# 130406	230440	4870.49		417471
# 130406	240810	5385.77		461638
# 130406	250400	5296.39		453977
# 130406	250750	5451.61		467281
# 130406	260410	5293.99		453771
# 130406	260790	5453.79		467468
# 130406	260960	5460.98		468084
# 130406	261070	5457.36		467774
# 130406	261110	4620.47		396040
# 130406	261160	5457.14		467755
# 130406	270430	5356.52		459130
# 130406	280030	5178.19		443846
# 130406	291080	4929.16		422500
# 130406	292740	5025.10		430723
# 130406	293330	4757.14		407756
# 130406	310620	4641.64		397855
# 130406	310670	4609.16		395072
# 130406	311860	4623.62		396311
# 130406	313670	4854.25		416079
# 130406	314330	4431.66		379857
# 130406	315460	4608.46		395011
# 130406	317010	4113.12		352554
# 130406	317020	4009.80		343698
# 130406	320130	5128.18		439559
# 130406	320500	5134.16		440072
# 130406	320520	5144.71		440975
# 130406	320530	5139.42		440522
# 130406	330045	4928.59		422451
# 130406	330100	5108.23		437849
# 130406	330170	4942.03		423603
# 130406	330330	4979.10		426781
# 130406	330350	4922.50		421929
# 130406	330390	4935.15		423014
# 130406	330455	4959.17		425072
# 130406	330490	4979.50		426815
# 130406	330510	4935.54		423047
# 130406	350600	4223.05		361977
# 130406	350950	4507.79		386383
# 130406	351060	4592.01		393601
# 130406	351380	4631.12		396954
# 130406	351620	4254.93		364709
# 130406	351870	4702.26		403051
# 130406	351880	4620.74		396064
# 130406	352310	4642.27		397910
# 130406	352590	4553.42		390293
# 130406	352690	4436.08		380236
# 130406	352940	4647.42		398351
# 130406	353060	4663.19		399702
# 130406	353440	4596.74		394007
# 130406	353870	4422.39		379063
# 130406	354100	4684.16		401500
# 130406	354340	4261.99		365314
# 130406	354780	4638.52		397588
# 130406	354850	4686.61		401710
# 130406	354870	4640.95		397796
# 130406	354980	4043.56		346591
# 130406	354990	4669.08		400208
# 130406	355030	4625.53		396474
# 130406	355100	4684.72		401548
# 130406	355220	4518.22		387277
# 130406	355410	4693.04		402261
# 130406	410480	4060.99		348085
# 130406	410690	4520.53		387474
# 130406	411370	4098.92		351336
# 130406	411520	4031.16		345528
# 130406	411990	4393.60		376594
# 130406	412550	4539.45		389096
