original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
"2,582217","46,351688",11.1228420498692,"102 Rue Des Droits De l’’Homme, 03100 Montluçon, France",46.351768,2.582304,"2,58221746,351688",,102,Rue Des Droits De l’’Homme,3100,,Montluçon,Montluçon,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,325264","46,570294",0,"Centre hospitalier de Moulins-Yzeure, 40 Cours de Bercy, 03000 Moulins, France",46.5705892,3.3278289,"3,32526446,570294",Centre hospitalier de Moulins-Yzeure,40,Cours de Bercy,3000,,Résidence Banville,Moulins,Allier,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,434312","46,127277",4.3609809152762,"54 Boulevard Denière, 03200 Vichy, France",46.127239,3.434326,"3,43431246,127277",,54,Boulevard Denière,3200,,Vichy,Vichy,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,06796","46,422546",6.71015094612496,"1 Rue De l’Industrie, 03240 Tronget, France",46.422572,3.067881,"3,0679646,422546",,1,Rue De l’Industrie,3240,,Tronget,Tronget,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,414225","46,148065",0.111195079952792,"89 Allée Des Ailes, 03200 Creuzier-le-Vieux, France",46.148066,3.414225,"3,41422546,148065",,89,Allée Des Ailes,3200,,Creuzier-Le-Vieux,Creuzier-le-Vieux,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,619711","46,345249",0,"8 Rue Ambroise Croizat, 03630 Désertines, France",46.345249,2.619711,"2,61971146,345249",,8,Rue Ambroise Croizat,3630,,Desertines,Désertines,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,697606","46,357486",3.93032995531963,"10 Route De Villefranche, 03170 Saint-Angel, France",46.35752,2.69762,"2,69760646,357486",,10,Route De Villefranche,3170,,Saint-Angel,Saint-Angel,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,3364509","46,5417101",0,"Polyclinique St Odilon, 32 Avenue du Professeur Étienne Sorrel, 03000 Moulins, France",46.5412534,3.3376019,"3,336450946,5417101",Polyclinique St Odilon,32,Avenue du Professeur Étienne Sorrel,3000,Nomazy,,Moulins,Allier,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"6,649356","44,387999",0,"Hôpital Pierre Grouès, 8 Rue Maurin, 04400 Barcelonnette, France",44.3877935,6.64957364284366,"6,64935644,387999",Hôpital Pierre Grouès,8,Rue Maurin,4400,,,Barcelonnette,Alpes-de-Haute-Provence,PAC,Provence-Alpes-Côte d'Azur,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"6,5083050727","43,846351063",0,"Hôpital local de Castellane, Route des Gorges du Verdon, 04120 Castellane, France",43.8467019,6.50814670817788,"6,508305072743,846351063",Hôpital local de Castellane,,Route des Gorges du Verdon,4120,,Notre-Dame,Castellane,Alpes-de-Haute-Provence,PAC,Provence-Alpes-Côte d'Azur,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,77767","43,958945",7.43643831854169,"2 Avenue Eugène Bernard, 04300 Forcalquier, France",43.959011,5.777685,"5,7776743,958945",,2,Avenue Eugène Bernard,4300,,Forcalquier,Forcalquier,Alpes-de-Haute-Provence,,Provence-Alpes-Cote d'Azur,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,807583","43,827344",3.95899209624908,"Chemin Auguste Girard, 04100 Manosque, France",43.82727,5.8083503,"5,80758343,827344",Chemin Auguste Girard,,Chemin Auguste Girard,4100,Le Moulin Neuf,,Manosque,Alpes-de-Haute-Provence,PAC,Provence-Alpes-Côte d'Azur,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
