original_lon,original_lat,distance,formatted,lat,lon,KEY,housenumber,name,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"1,9015752","47,8650984",0,"Marché de la place Louis Sallé, Place Louis Salle, 45160 Olivet, France",47.8650939,1.9014593594095,"1,901575247,8650984",,Marché de la place Louis Sallé,Place Louis Salle,45160,,,Olivet,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,6247579999","47,698059",0,"Mairie de Gien, Chemin de Montfort, 45500 Gien, France",47.69803585,2.62478746045192,"2,624757999947,698059",,Mairie de Gien,Chemin de Montfort,45500,Les Dameraudes,,Gien,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,7725834","47,9951591",15.2201859243209,"179 Rue Du Docteur Nandrot, 45200 Amilly, France",47.995183,2.772382,"2,772583447,9951591",179,,Rue Du Docteur Nandrot,45200,Amilly,,Amilly,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,894146","47,891828",3.27278930702979,"Rue Guignegault, 45750 Orléans, France",47.890826,1.8905736,"1,89414647,891828",,Rue Guignegault,Rue Guignegault,45750,,,Orléans,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,9254103","47,8391189",0,"Rue Théophraste Renaudot, 45100 Orléans, France",47.8384818,1.9259977,"1,925410347,8391189",,Rue Théophraste Renaudot,Rue Théophraste Renaudot,45100,,,Orléans,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,02994","44,610302",1.76075279473267,"30 Rue Des Maquisards, 46100 Figeac, France",44.610291,2.029924,"2,0299444,610302",30,,Rue Des Maquisards,46100,Figeac,,Figeac,Lot,Occitania,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,8890367","44,8620182",5.61353533214368,"Auto-école DOS SANTOS, 7 Avenue du Docteur Roux, 46400 Saint-Céré, France",44.86216905,1.88892445956168,"1,889036744,8620182",7,Auto-école DOS SANTOS,Avenue du Docteur Roux,46400,Saint-Cere,,Saint-Céré,Lot,Occitania,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,561492","44,6879",14.4472172933066,"5 Rue Dreche, 46240 Montfaucon, France",44.68782,1.561636,"1,56149244,6879",5,,Rue Dreche,46240,Montfaucon,,Montfaucon,Lot,Occitania,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,371854","44,731687",4.74274225196124,"Avenue Pasteur, 46300 Gourdon, France",44.7321273,1.3736441,"1,37185444,731687",,Avenue Pasteur,Avenue Pasteur,46300,Quartier des Cordeliers,,Gourdon,Lot,Occitania,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,437758","44,445711",0,"257 Rue Du President Wilson, 46000 Cahors, France",44.445711,1.437758,"1,43775844,445711",257,,Rue Du President Wilson,46000,Cahors,,Cahors,Lot,Occitania,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,733839","44,780837",9.59716564946359,"105 Avenue François Souladié, 46500 Gramat, France",44.780878,1.733946,"1,73383944,780837",105,,Avenue François Souladié,46500,Gramat,,Gramat,Lot,Occitania,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,192182","44,504809",21.8027228314976,"15 Avenue Des Acacias, 46220 Prayssac, France",44.504623,1.192269,"1,19218244,504809",15,,Avenue Des Acacias,46220,Anglars-Juillac,,Prayssac,Lot,Occitania,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,435727","44,444238",0,"Centre hospitalier de Cahors, Rue Pierre Bourthoumieux, 46000 Cahors, France",44.44493015,1.43647645188751,"1,43572744,444238",,Centre hospitalier de Cahors,Rue Pierre Bourthoumieux,46000,,,Cahors,Lot,Occitania,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
