original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"1,5388543999","45,1682656",0,"Clinique Saint-Germain, Rue Jean Claude Cassaing, 19100 Brive-la-Gaillarde, France",45.1686825,1.53973835727274,"1,538854399945,1682656",Clinique Saint-Germain,,Rue Jean Claude Cassaing,19100,,,Brive-la-Gaillarde,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,5133601","45,6406242",0,"Centre psychiatrique de la Cellette, D 184, 19340 Veyrières, France",45.6406242,2.5133601,"2,513360145,6406242",Centre psychiatrique de la Cellette,,D 184,19340,,,Veyrières,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,76747","45,283845",0,"Le Chandou, Chemin du Chandou, 19000 Tulle, France",45.28387355,1.76772237155568,"1,7674745,283845",Le Chandou,,Chemin du Chandou,19000,,,Tulle,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,4749946","45,6481247",8.46638640020433,"7 Route De Messeix, 19340 Monestier-Merlines, France",45.648103,2.475099,"2,474994645,6481247",,7,Route De Messeix,19340,,Monestier-Merlines,Monestier-Merlines,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,567408","45,430438",17.8946240504817,"1 Rue Raymond Sidois, 19140 Uzerche, France",45.430334,1.567233,"1,56740845,430438",,1,Rue Raymond Sidois,19140,,Uzerche,Uzerche,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,690641","45,20662",0.078342740724399,"32 Grand Rue, 19150 Cornil, France",45.20662,1.690642,"1,69064145,20662",,32,Grand Rue,19150,,Cornil,Cornil,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,5019603","45,161178799",2.13731072439264,"Impasse des Cèdres, 19100 Brive-la-Gaillarde, France",45.1612977,1.5030147,"1,501960345,161178799",Impasse des Cèdres,,Impasse des Cèdres,19100,Tujac,,Brive-la-Gaillarde,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,4657725","45,6387789",0,"Route des Rouchauds, 19340 Merlines, France",45.6387789,2.4657725,"2,465772545,6387789",Route des Rouchauds,,Route des Rouchauds,19340,,,Merlines,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,4749946","45,6481247",8.46638640020433,"7 Route De Messeix, 19340 Monestier-Merlines, France",45.648103,2.475099,"2,474994645,6481247",,7,Route De Messeix,19340,,Monestier-Merlines,Monestier-Merlines,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,313203","45,544451",3.94707503920043,"Rue du Docteur Roullet, 19200 Ussel, France",45.5444448,2.3131382,"2,31320345,544451",Rue du Docteur Roullet,,Rue du Docteur Roullet,19200,La Chabanne,,Ussel,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,533696","45,167933",3.55097547959298,"Centre Hospitalier, Boulevard Docteur Verlhac, 19100 Brive-la-Gaillarde, France",45.1679541,1.53373,"1,53369645,167933",Centre Hospitalier,,Boulevard Docteur Verlhac,19100,,Brive-La-Gaillarde,Brive-la-Gaillarde,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,533696","45,167933",3.55097547959298,"Centre Hospitalier, Boulevard Docteur Verlhac, 19100 Brive-la-Gaillarde, France",45.1679541,1.53373,"1,53369645,167933",Centre Hospitalier,,Boulevard Docteur Verlhac,19100,,Brive-La-Gaillarde,Brive-la-Gaillarde,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,772014","45,285332",1.81159955076844,"EHPAD Les Fontaines, Avenue Albert de la Pradelle, 19000 Tulle, France",45.2853599,1.77179629793743,"1,77201445,285332",EHPAD Les Fontaines,,Avenue Albert de la Pradelle,19000,,Tulle,Tulle,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,537901","45,170124",2.91626323893722,"7null Rue Jean Filliol, 19100 Brive-la-Gaillarde, France",45.170148,1.537916,"1,53790145,170124",,7null,Rue Jean Filliol,19100,,Brive-La-Gaillarde,Brive-la-Gaillarde,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,4749946","45,6481247",8.46638640020433,"7 Route De Messeix, 19340 Monestier-Merlines, France",45.648103,2.475099,"2,474994645,6481247",,7,Route De Messeix,19340,,Monestier-Merlines,Monestier-Merlines,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,6929532","45,2114278",2.77489867716802,"8 Grand Rue, 19150 Cornil, France",45.211448,1.692974,"1,692953245,2114278",,8,Grand Rue,19150,,Cornil,Cornil,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,3131382","45,5444448",0,"Rue du Docteur Roullet, 19200 Ussel, France",45.5444448,2.3131382,"2,313138245,5444448",Rue du Docteur Roullet,,Rue du Docteur Roullet,19200,La Chabanne,,Ussel,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,575367","47,861607",0.850237186618076,"1 Rue De Seine, 21400 Châtillon-sur-Seine, France",47.861609,4.575378,"4,57536747,861607",,1,Rue De Seine,21400,,Chatillon-Sur-Seine,Châtillon-sur-Seine,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,043271","47,312537",0.111195080742881,"7 Rue Des Princes De Condé, 21000 Dijon, France",47.312538,5.043271,"5,04327147,312537",,7,Rue Des Princes De Condé,21000,,Dijon,Dijon,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,076313","47,345824",0,"14 Rue De La Breuchillière, 21000 Dijon, France",47.345824,5.076313,"5,07631347,345824",,14,Rue De La Breuchillière,21000,,Dijon,Dijon,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,043679","47,356535",9.30968530353242,"17 Avenue Jean Bertin, 21000 Dijon, France",47.356604,5.043749,"5,04367947,356535",,17,Avenue Jean Bertin,21000,,Dijon,Dijon,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,0713762999","47,3234652",8.81683829976743,"19 Rue Angélique Ducoudray, 21000 Dijon, France",47.323506,5.071276,"5,071376299947,3234652",,19,Rue Angélique Ducoudray,21000,,Dijon,Dijon,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,00962","47,410385",36.8156703774999,"16 Rue Des Alisiers, 21380 Messigny-et-Vantoux, France",47.410679,5.009395,"5,0096247,410385",,16,Rue Des Alisiers,21380,,Messigny-Et-Vantoux,Messigny-et-Vantoux,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,046459","47,328862",4.22246363140977,"Rue Marceau, 21000 Dijon, France",47.3285855,5.0462055,"5,04645947,328862",Rue Marceau,,Rue Marceau,21000,Centre-Ville,,Dijon,BFC,Côte-d'Or,Bourgogne-Franche-Comté,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,0440531","47,3125905",0,"18 Cours du Général de Gaulle, 21000 Dijon, France",47.3125905,5.0440531,"5,044053147,3125905",,18,Cours du Général de Gaulle,21000,Centre-Ville,Faubourg Saint-Pierre,Dijon,BFC,Côte-d'Or,Bourgogne-Franche-Comté,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,997927","47,304051",0.111195079952792,"12 Rue Saint Vincent De Paul, 21000 Dijon, France",47.304052,4.997927,"4,99792747,304051",,12,Rue Saint Vincent De Paul,21000,,Dijon,Dijon,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,0497405999","47,362457",1.40181499409609,"Avenue Françoise Giroud, 21000 Dijon, France",47.3639723,5.0494937,"5,049740599947,362457",Avenue Françoise Giroud,,Avenue Françoise Giroud,21000,,,Dijon,BFC,Côte-d'Or,Bourgogne-Franche-Comté,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,01889","47,300094",0,"45 Boulevard Henri Bazin, 21000 Dijon, France",47.300094,5.01889,"5,0188947,300094",,45,Boulevard Henri Bazin,21000,,Dijon,Dijon,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,0117225","47,3351343",4.83179234958082,"1 Allee Roger Renard, 21240 Talant, France",47.335144,5.011785,"5,011722547,3351343",,1,Allee Roger Renard,21240,,Talant,Talant,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,0565795999","47,3188662",0,"Centre Hospitalier Régional Centre Gériatrique de Champmaillot, Boulevard de la Fontaine des Suisses, 21000 Dijon, France",47.31893315,5.0567727581951,"5,056579599947,3188662",Centre Hospitalier Régional Centre Gériatrique de Champmaillot,,Boulevard de la Fontaine des Suisses,21000,Montmuzard,Faubourg Saint-Pierre,Dijon,BFC,Côte-d'Or,Bourgogne-Franche-Comté,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,0730747","47,3211",6.27837801438324,"23b Rue Paul Gaffarel, 21000 Saint-Apollinaire, France",47.321146,5.073123,"5,073074747,3211",,23b,Rue Paul Gaffarel,21000,,Saint-Apollinaire,Saint-Apollinaire,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,539864","47,400666",4.87444091928829,"Chemin du Cholot, 21350 Vitteaux, France",47.4006268,4.5397435,"4,53986447,400666",Chemin du Cholot,,Chemin du Cholot,21350,,,Vitteaux,BFC,Côte-d'Or,Bourgogne-Franche-Comté,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,010328","47,412633",4.41946174783128,"Rue des Alisiers, 21380 Messigny-et-Vantoux, France",47.4119547,5.0096942,"5,01032847,412633",Rue des Alisiers,,Rue des Alisiers,21380,,,Messigny-et-Vantoux,BFC,Côte-d'Or,Bourgogne-Franche-Comté,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,1080512999","47,3062805",38.4752652491422,"1 Rue De La Gouge, 21800 Quetigny, France",47.306609,5.107891,"5,108051299947,3062805",,1,Rue De La Gouge,21800,,Quetigny,Quetigny,,Cote d'Or,Burgundy-Franche-Comte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
