original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"4,6168021999","45,8395862",37.2927637601791,"26 Rue Des Soeurs De l’Hôpital, 69210 L'Arbresle, France",45.839513,4.617272,"4,616802199945,8395862",,26,Rue Des Soeurs De l’Hôpital,69210,L'Arbresle,,L'Arbresle,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,886909","45,822189",0,"Polyclinique Lyon-Nord Rillieux, Avenue Victor Hugo, 69140 Rillieux-la-Pape, France",45.82119905,4.88702496924142,"4,88690945,822189",Polyclinique Lyon-Nord Rillieux,,Avenue Victor Hugo,69140,,Rillieux Village,Rillieux-la-Pape,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,864443","45,770563",0,"Charpennes - Charles Hernu, Cours Émile Zola, 69100 Villeurbanne, France",45.7705758,4.86455990179777,"4,86444345,770563",Charpennes - Charles Hernu,,Cours Émile Zola,69100,,Charpennes,Villeurbanne,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,864908","45,776868",2.51197779691931,"Collège du Tonkin, 69100 Villeurbanne, France",45.7768455,4.8649109,"4,86490845,776868",Collège du Tonkin,,Collège du Tonkin,69100,Villeurbanne,Tonkin,Villeurbanne,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,8410238","45,7562508",1.70406788891063,"Place Antonin Jutard, 69003 Lyon, France",45.756266,4.841021,"4,841023845,7562508",,,Place Antonin Jutard,69003,3rd Arr.,,Lyon,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,883657","45,741427",11.903080840049,"22 Avenue Rockefeller, 69003 Lyon, France",45.7415336,4.883643,"4,88365745,741427",,22,Avenue Rockefeller,69003,,Grange Blanche,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,853221","45,749495",0,"Square Stalingrad, Grande Rue de la Guillotière, 69007 Lyon, France",45.74951775,4.85317794684167,"4,85322145,749495",Square Stalingrad,,Grande Rue de la Guillotière,69007,,La Guillotière,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,8926808","45,7405165",0,"Hôpital d'instruction des armées Desgenettes, Boulevard Pinel, Lyon, France",45.74093485,4.89071550992435,"4,892680845,7405165",Hôpital d'instruction des armées Desgenettes,,Boulevard Pinel,,,Lyon 3e Arrondissement,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,8540102","45,7244007",2.31761150776976,"Route de Vienne, 69200 Vénissieux, France",45.7243785,4.8540422,"4,854010245,7244007",Route de Vienne,,Route de Vienne,69200,,Moulin à Vent,Vénissieux,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,614342","45,842591",0,"12 Chemin Du Ravatel, 69210 L'Arbresle, France",45.842591,4.614342,"4,61434245,842591",,12,Chemin Du Ravatel,69210,L'Arbresle,,L'Arbresle,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,8713488","45,7563549",0,"305 Rue Paul Bert, 69003 Lyon, France",45.7563549,4.8713488,"4,871348845,7563549",,305,Rue Paul Bert,69003,,Lyon 3e Arrondissement,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,845731","45,759643",9.91604435327367,"96 Avenue Maréchal De Saxe, 69003 Lyon, France",45.759628,4.845605,"4,84573145,759643",,96,Avenue Maréchal De Saxe,69003,3rd Arr.,,Lyon,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,8266301","45,7699129",0,"Clinique Saint-Charles, Rue de l'Annonciade, 69001 Lyon, France",45.76994555,4.82739948106256,"4,826630145,7699129",Clinique Saint-Charles,,Rue de l'Annonciade,69001,,Pentes de la Croix-Rousse,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,78135","45,768402",0,"Clinique du Val d'Ouest, 39 Chemin de la Vernique, 69160 Tassin-la-Demi-Lune, France",45.76869305,4.78055121973046,"4,7813545,768402",Clinique du Val d'Ouest,39,Chemin de la Vernique,69160,,,Tassin-la-Demi-Lune,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,7978720999","45,7498482",0,"Clinique Charcot, 7 Avenue Maréchal Foch, 69005 Sainte-Foy-lès-Lyon, France",45.7493173,4.7963459,"4,797872099945,7498482",Clinique Charcot,7,Avenue Maréchal Foch,69005,,Lyon 5e Arrondissement,Sainte-Foy-lès-Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,8874709","45,8204496",0.0073791215667856,"Polyclinique Lyon-Nord Rillieux, Avenue Victor Hugo, 69140 Rillieux-la-Pape, France",45.82119905,4.88702496924142,"4,887470945,8204496",Polyclinique Lyon-Nord Rillieux,,Avenue Victor Hugo,69140,,Rillieux Village,Rillieux-la-Pape,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,863019","45,688808",5.20321413585336,"1 Avenue Du 11 Novembre 1918, 69200 Vénissieux, France",45.6888,4.862953,"4,86301945,688808",,1,Avenue Du 11 Novembre 1918,69200,Venissieux,,Vénissieux,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,659968","45,763346",0.111195080742881,"85 Chemin Des Presles, 69290 Pollionnay, France",45.763347,4.659968,"4,65996845,763346",,85,Chemin Des Presles,69290,Pollionnay,,Pollionnay,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,802577","45,733742",20.2653170910295,"9bis Rue Du Neyrard, 69110 Sainte-Foy-lès-Lyon, France",45.733898,4.802712,"4,80257745,733742",,9bis,Rue Du Neyrard,69110,Sainte-Foy-Les-Lyon,,Sainte-Foy-lès-Lyon,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,805368","45,759088",0,"Clinique Lyon Champvert, Avenue Barthélémy Buyer, 69005 Lyon, France",45.7589439,4.80462345869449,"4,80536845,759088",Clinique Lyon Champvert,,Avenue Barthélémy Buyer,69005,,Gorge de Loup,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,8032782999","45,7526169",0,"Clinique Villa des Roses, Rue de l'Oiseau Blanc, 69005 Lyon, France",45.7524943,4.80183622034344,"4,803278299945,7526169",Clinique Villa des Roses,,Rue de l'Oiseau Blanc,69005,,Saint-Irénée,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,754085","45,710635",7.93701709313844,"30 Rue Claude Dominget, 69630 Chaponost, France",45.710624,4.754186,"4,75408545,710635",,30,Rue Claude Dominget,69630,Chaponost,,Chaponost,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,783487","45,771539",35.1616676740156,"11 Chemin De La Vernique, 69130 Écully, France",45.771345,4.783845,"4,78348745,771539",,11,Chemin De La Vernique,69130,Ecully,,Écully,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
