unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,NRCBED,DE8	: 	: 	: 	: 	: 	: 	73.93 	: 	76.86 	: 	80.80 	: 	87.08 e	: 	94.71 	: 	103.67 	: 	111.43 	: 	120.58 	: 	123.60 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE9	: 	: 	: 	: 	: 	: 	71.98 	: 	72.98 	: 	77.57 	: 	82.59 e	: 	88.48 	: 	92.90 	: 	100.91 	: 	107.33 	: 	112.82 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DEA	: 	: 	: 	: 	: 	: 	94.64 	: 	97.48 	: 	99.42 	: 	102.11 e	: 	107.36 	: 	112.16 	: 	115.84 	: 	119.37 	: 	121.85 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DEB	: 	: 	: 	: 	: 	: 	89.88 	: 	92.35 	: 	96.38 	: 	100.07 e	: 	108.72 	: 	113.82 	: 	118.75 	: 	125.98 	: 	129.53 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DEC	: 	: 	: 	: 	: 	: 	76.31 	: 	80.02 	: 	84.24 	: 	85.06 e	: 	87.58 	: 	94.95 	: 	103.80 	: 	121.52 	: 	118.72 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DED	: 	: 	: 	: 	: 	: 	73.64 	: 	79.03 	: 	82.06 	: 	86.87 e	: 	92.22 	: 	98.70 	: 	108.88 	: 	121.84 	: 	129.82 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DEE	: 	: 	: 	: 	: 	: 	68.25 	: 	72.95 	: 	79.19 	: 	85.84 e	: 	94.60 	: 	104.41 	: 	116.16 	: 	126.02 	: 	135.66 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DEF	: 	: 	: 	: 	: 	: 	69.37 	: 	69.50 	: 	70.03 	: 	71.42 e	: 	74.72 	: 	76.29 	: 	86.03 	: 	84.51 	: 	87.47 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DEG	: 	: 	: 	: 	: 	: 	77.39 	: 	82.67 	: 	89.83 	: 	99.01 e	: 	109.69 	: 	118.16 	: 	132.20 	: 	142.75 	: 	153.71 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DK	144.02 b	135.99 	135.58 	134.52 	133.52 	112.81 	112.15 	112.46 	113.29 	115.03 	117.57 	117.70 	104.88 	101.82 	97.87 b	120.81 	122.39 	122.06 	122.41 	116.70 	115.69 	115.91 	115.52 	109.57 	112.95 	109.43 	111.72 	110.78 b	116.24 	111.85 	107.08 	100.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,EE	: 	125.66 	128.89 	143.01 	146.91 	150.51 	154.03 	163.32 b	127.04 b	142.96 	152.19 	157.40 	163.82 	171.71 	181.71 	190.28 	200.14 	211.67 	218.76 	221.94 	229.59 	231.44 	233.22 	234.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,EE00	: 	: 	: 	: 	: 	: 	116.11 	120.65 	127.04 	142.96 	153.63 	158.43 	164.53 	172.17 	181.85 	189.82 	198.86 	209.61 	216.02 	218.61 	225.62 	226.89 	230.78 	234.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
