codigo,nome,latitude,longitude,codigo_re,population,admin_name,capital
3006283,La Teste-de-Buch,44.62,-1.1457,2,26078,Nouvelle-Aquitaine,
6439604,Hénin-Beaumont,50.4217,2.9508,11,25917,Hauts-de-France,
3015689,Gonesse,48.9875,2.4494,8,25999,Île-de-France,
11962198,Sens,48.1975,3.2877,4,25935,Bourgogne-Franche-Comté,minor
2969257,Vierzon,47.2225,2.0694,6,25725,Centre-Val de Loire,minor
6452432,Alençon,48.4306,0.0931,10,25775,Normandie,minor
6456448,Le Grand-Quevilly,49.4072,1.0531,10,25698,Normandie,
3012874,Brunoy,48.6979,2.5044,8,25354,Île-de-France,
6432244,Gradignan,44.7725,-0.6156,2,25435,Nouvelle-Aquitaine,
3036016,Aurillac,44.9261,2.4406,3,25499,Auvergne-Rhône-Alpes,minor
6453739,Saintes,45.7464,-0.6333,2,25148,Nouvelle-Aquitaine,minor
3032797,Biarritz,43.48,-1.56,2,25404,Nouvelle-Aquitaine,
3020310,Élancourt,48.7847,1.9589,8,25400,Île-de-France,
2992938,Montbéliard,47.51,6.8,4,25395,Bourgogne-Franche-Comté,minor
6457187,Le Kremlin-Bicêtre,48.81,2.3581,8,24850,Île-de-France,
3009198,La Garde,43.1256,6.0108,13,25126,Provence-Alpes-Côte d’Azur,
6446255,Eaubonne,48.9922,2.2806,8,25097,Île-de-France,
8297830,Étampes,48.4343,2.1615,8,25092,Île-de-France,minor
3027014,Champs-Sur-Marne,48.8529,2.6027,8,25041,Île-de-France,
2991153,Muret,43.4611,1.3267,9,24813,Occitanie,minor
3033002,Béthune,50.5303,2.6408,11,24895,Hauts-de-France,minor
3036903,Armentières,50.6881,2.8811,11,24778,Hauts-de-France,
6453527,Laon,49.5639,3.6244,11,24710,Hauts-de-France,minor
6454008,Libourne,44.92,-0.24,2,24511,Nouvelle-Aquitaine,minor
3027950,Cenon,44.8578,-0.5317,2,24729,Nouvelle-Aquitaine,
3017924,Fontenay-aux-Roses,48.7893,2.2888,8,24564,Île-de-France,
3032469,Blagnac,43.6364,1.3906,9,24517,Occitanie,
2969612,Vertou,47.1689,-1.4697,12,24219,Pays de la Loire,
2969392,Vichy,46.1278,3.4267,3,24166,Auvergne-Rhône-Alpes,minor
6612920,Cormeilles-en-Parisis,48.9739,2.2014,8,24161,Île-de-France,
6508515,Rochefort,45.9421,-0.9588,2,23583,Nouvelle-Aquitaine,minor
6427003,Rodez,44.3506,2.575,9,24057,Occitanie,minor
3000060,Les Pavillons-sous-Bois,48.9,2.5,8,23960,Île-de-France,
3005825,La Valette-du-Var,43.1383,5.9831,13,23795,Provence-Alpes-Côte d’Azur,
6453910,Vernon,49.09,1.49,10,23777,Normandie,
3005066,Le Bouscat,44.8651,-0.5996,2,23824,Nouvelle-Aquitaine,
6455343,Orly,48.7439,2.3928,8,23801,Île-de-France,
8297907,Montgeron,48.7039,2.4605,8,23775,Île-de-France,
6451986,Villeneuve-la-Garenne,48.9372,2.3278,8,23771,Île-de-France,
8286141,Saint-Ouen-l’Aumône,49.0447,2.1111,8,23741,Île-de-France,
3021263,Dole,47.0931,5.4906,4,23708,Bourgogne-Franche-Comté,minor
2996564,Maisons-Laffitte,48.9469,2.1456,8,23611,Île-de-France,
2997556,Lormont,44.8792,-0.5217,2,23128,Nouvelle-Aquitaine,
6451981,Sèvres,48.8239,2.2117,8,23251,Île-de-France,
3019193,Eysines,44.8853,-0.65,2,23462,Nouvelle-Aquitaine,
3000491,Les Lilas,48.88,2.42,8,23045,Île-de-France,
2983074,Roissy-en-Brie,48.7906,2.6519,8,22836,Île-de-France,
6438266,Grande-Synthe,51.0139,2.3028,11,22777,Hauts-de-France,
6427260,Hérouville-Saint-Clair,49.2044,-0.3253,10,22638,Normandie,
3038789,Abbeville,50.1058,1.8358,11,22837,Hauts-de-France,minor
3016956,Frontignan,43.4483,3.7561,9,22731,Occitanie,
3007794,Lanester,47.7647,-3.3422,5,22728,Bretagne,
3020062,Épernay,49.0403,3.96,1,22330,Grand Est,minor
2978621,Saint-Mandé,48.8422,2.4186,8,22248,Île-de-France,
2972444,Torcy,48.8502,2.6508,8,22361,Île-de-France,minor
3018095,Fontaine,45.1939,5.6856,3,22523,Auvergne-Rhône-Alpes,
