lon,lat
-43.0069,-21.5381,
-42.7035,-19.9214,
-41.7486,-20.0058,
-45.0506,-22.1166,
-45.0749,-16.3641,
-46.3639,-20.249,
-46.3639,-20.249,
-46.9837,-20.9167,
-46.9837,-20.9167,
-43.1757,-19.2959,
-43.1757,-19.2959,
-44.5098,-20.9075,
-44.4431,-21.7042,
-42.1587,-17.6002,
-43.0904,-20.9158,
-43.0904,-20.9158,
-43.0904,-20.9158,
-43.5812,-21.0351,
-44.518,-21.9134,
-44.518,-21.9134,
-44.518,-21.9134,
-45.795,-19.4447,
-45.795,-19.4447,
-46.6961,-19.1083,
-46.0417,-21.5441,
-43.3744,-18.5991,
-43.3744,-18.5991,
-44.2413,-19.4569,
-44.2413,-19.4569,
-44.2413,-19.4569,
-44.2413,-19.4569,
-44.2413,-19.4569,
-43.3088,-21.964,
-43.3088,-21.964,
-43.3088,-21.964,
-42.2259,-15.8106,
-46.8264,-19.9166,
-46.0221,-19.8936,
-46.0221,-19.8936,
-43.6922,-19.6652,
-42.0097,-19.2835,
-42.0097,-19.2835,
-42.0097,-19.2835,
-42.8564,-20.6561,
-42.8564,-20.6561,
-41.5087,-17.8595,
-42.6471,-19.5811,
-45.9626,-19.0037,
-46.0971,-22.3698,
-46.3728,-22.7421,
-46.3728,-22.7421,
-42.0228,-20.9086,
-45.2511,-21.6921,
-45.2473,-18.2048,
-45.5109,-21.3694,
-41.6527,-18.9844,
-48.6985,-18.5866,
-42.7285,-17.2828,
-42.7285,-17.2828,
-45.7859,-21.8733,
-45.7859,-21.8733,
-42.9359,-21.1204,
-42.9359,-21.1204,
-42.9359,-21.1204,
-44.7783,-16.2885,
-47.9381,-19.7472,
-48.2749,-18.9141,
-46.9022,-16.3592,
-50.338,-19.5299,
-46.2443,-16.0634,
-45.7352,-16.1244,
-42.3085,-15.3987,
-45.4364,-21.5556,
-46.0313,-18.3741,
-44.7226,-17.5944,
-44.0278,-15.6992,
-44.0278,-15.6992,
-46.9088,-17.9827,
-46.9088,-17.9827,
-43.6121,-15.5845,
-48.3118,-19.6657,
-42.2688,-20.0406,
-43.9239,-19.6883,
-42.8742,-20.7559,
-42.8742,-20.7559,
-42.8742,-20.7559,
-42.3431,-16.807,
-45.0965,-22.3264,
-42.7015,-18.8154,
-42.7015,-18.8154,
-42.3067,-18.4738,
-42.3067,-18.4738,
-42.8361,-21.0127,
-42.8361,-21.0127,
-42.8361,-21.0127,
